Availability;DataSheetUrl;Description;FactoryStock;ImagePath;Category;LeadTime;LifecycleStatus;Manufacturer;ManufacturerPartNumber;Min;Mult;MouserPartNumber;AlternatePackagings;ProductDetailUrl;Reeling;ROHSStatus;SuggestedReplacement;MultiSimBlue;AvailabilityInStock
None;https://www.mouser.com/datasheet/2/411/p139000dp-1716148.pdf;HDMI, Displayport & DVI Connectors Tripp Lite Mini DisplayPort to DisplayPort Compact Adapter Converter 1080p;0;https://www.mouser.com/images/tripplite/images/p139-000-dp_SPL.jpg;HDMI, Displayport & DVI Connectors;0 Days;None;Tripp Lite;P139-000-DP;1;1;545-P139-000-DP;None;https://eu.mouser.com/ProductDetail/Tripp-Lite/P139-000-DP?qs=W0yvOO0ixfEpyTjOh0HLYw%3D%3D;False;;;0;0
None;https://www.mouser.com/datasheet/2/411/P136000UHDV2-1090842.pdf;HDMI, Displayport & DVI Connectors Tripp Lite DisplayPort to HDMI Adapter Converter 4K Active DP to HDMI M/F;0;https://www.mouser.com/images/tripplite/images/p136-000-uhd-v2_SPL.jpg;HDMI, Displayport & DVI Connectors;0 Days;None;Tripp Lite;P136-000-UHD-V2;1;1;545-P136-000-UHD-V2;None;https://eu.mouser.com/ProductDetail/Tripp-Lite/P136-000-UHD-V2?qs=gsQj%2FRNRGSaFaQClIq%252B%252BKA%3D%3D;False;RoHS Compliant;;0;0
None;https://www.mouser.com/datasheet/2/411/p13606nhdrw-1716217.pdf;HDMI, Displayport & DVI Connectors Tripp Lite DisplayPort to HDMI Active Adapter HDR 4K M/F White DP HDMI 6in;0;https://www.mouser.com/images/tripplite/images/p136-06n-hdr-w_SPL.jpg;HDMI, Displayport & DVI Connectors;0 Days;None;Tripp Lite;P136-06N-HDR-W;1;1;545-P136-06N-HDR-W;None;https://eu.mouser.com/ProductDetail/Tripp-Lite/P136-06N-HDR-W?qs=xZ%2FP%252Ba9zWqbDJIwhF7ny%2Fg%3D%3D;False;;;0;0
None;https://www.mouser.com/datasheet/2/411/P13606NACT-1090816.pdf;HDMI, Displayport & DVI Connectors Tripp Lite DisplayPort to HDMI Adapter Converter Active DP to HDMI 6in 6";0;https://www.mouser.com/images/tripplite/images/p136-06n-act_SPL.jpg;HDMI, Displayport & DVI Connectors;0 Days;None;Tripp Lite;P136-06N-ACT;1;1;545-P136-06N-ACT;None;https://eu.mouser.com/ProductDetail/Tripp-Lite/P136-06N-ACT?qs=gsQj%2FRNRGSZY%252BO%252BJXRM01A%3D%3D;False;RoHS Compliant;;0;0
None;;HDMI, Displayport & DVI Connectors Tripp Lite USB C to HDMI Over Cat6 Extender Kit Transmitter Receiver 4K PoC;0;https://www.mouser.com/images/tripplite/images/b127-1a1-ch_SPL.jpg;HDMI, Displayport & DVI Connectors;0 Days;New Product;Tripp Lite;B127-1A1-CH;1;1;545-B127-1A1-CH;None;https://eu.mouser.com/ProductDetail/Tripp-Lite/B127-1A1-CH?qs=pBJMDPsKWf20OsjKi%252BQ0ZQ%3D%3D;False;;;0;0
None;https://www.mouser.com/datasheet/2/411/P13706NHDV4K-1090817.pdf;HDMI, Displayport & DVI Connectors Tripp Lite Mini Displayport to VGA DVI HDMI Adapter Converter 4Kx2K 6in 6";0;https://www.mouser.com/images/tripplite/images/p137-06n-hdv-4k_SPL.jpg;HDMI, Displayport & DVI Connectors;0 Days;None;Tripp Lite;P137-06N-HDV-4K;1;1;545-P137-06N-HDV-4K;None;https://eu.mouser.com/ProductDetail/Tripp-Lite/P137-06N-HDV-4K?qs=gsQj%2FRNRGSZjHHZisK2PHg%3D%3D;False;RoHS Compliant;;0;0
None;https://www.mouser.com/datasheet/2/411/P13406NVGAV2-915760.pdf;HDMI, Displayport & DVI Connectors DisplayPort 1.2toVGA Active Converter 6";0;https://www.mouser.com/images/tripplite/images/p134-06n-vga-v2_spl.jpg;HDMI, Displayport & DVI Connectors;0 Days;None;Tripp Lite;P134-06N-VGA-V2;1;1;545-P134-06N-VGA-V2;None;https://eu.mouser.com/ProductDetail/Tripp-Lite/P134-06N-VGA-V2?qs=FJfwjVKGDw4riMhEB6p23w%3D%3D;False;RoHS Compliant;;0;0
None;https://www.mouser.com/datasheet/2/411/P13706NVGA-584781.pdf;HDMI, Displayport & DVI Connectors Tripp Lite Mini DisplayPort to VGA Adapter Converter Active mDP to VGA 6";0;https://www.mouser.com/images/tripplite/images/P13706NVGA-FRONT-L_SPL.jpg;HDMI, Displayport & DVI Connectors;0 Days;None;Tripp Lite;P137-06N-VGA;1;1;545-P137-06N-VGA;None;https://eu.mouser.com/ProductDetail/Tripp-Lite/P137-06N-VGA?qs=TVKtPlPff3soAP2hSwbLzQ%3D%3D;False;RoHS Compliant;;0;0
None;https://www.mouser.com/datasheet/2/411/P13706NHDUHD-606869.pdf;HDMI, Displayport & DVI Connectors Tripp Lite Mini DisplayPort to HDMI Adapter Converter UHD 4Kx2K Mac/PC 6in;0;https://www.mouser.com/images/tripplite/images/P13706NHDUHD-FRONT-L_SPL.jpg;HDMI, Displayport & DVI Connectors;0 Days;None;Tripp Lite;P137-06N-HD-UHD;1;1;545-P137-06N-HD-UHD;None;https://eu.mouser.com/ProductDetail/Tripp-Lite/P137-06N-HD-UHD?qs=yQScnJJ3KDu5XRU5I%252Bp6JA%3D%3D;False;RoHS Compliant;;0;0
None;https://www.mouser.com/datasheet/2/411/B132100AWP1-584147.pdf;HDMI, Displayport & DVI Connectors Tripp Lite VGA + Audio over Cat5 Cat6 Extender Wallplate Receiver 1920x1440;0;https://www.mouser.com/images/tripplite/images/B132100AWP1-FRONT-L_SPL.jpg;HDMI, Displayport & DVI Connectors;0 Days;None;Tripp Lite;B132-100A-WP-1;1;1;545-B132-100A-WP-1;None;https://eu.mouser.com/ProductDetail/Tripp-Lite/B132-100A-WP-1?qs=hzNRMSf40UbPTBOtzdFz8w%3D%3D;False;RoHS Compliant;;0;0
None;https://www.mouser.com/datasheet/2/411/P1360001-606987.pdf;HDMI, Displayport & DVI Connectors Tripp Lite DisplayPort to HDMI Video Adapter Converter Compact 1080p M/F;0;https://www.mouser.com/images/tripplite/images/P1360001-FRONT-L_SPL.jpg;HDMI, Displayport & DVI Connectors;0 Days;None;Tripp Lite;P136-000-1;1;1;545-P136-000-1;None;https://eu.mouser.com/ProductDetail/Tripp-Lite/P136-000-1?qs=%252BRIxmCAm9yoYiSELQ9gU0Q%3D%3D;False;RoHS Compliant;;0;0
None;https://www.mouser.com/datasheet/2/411/p13706nhdrw-1716059.pdf;HDMI, Displayport & DVI Connectors Tripp Lite Mini DisplayPort to HDMI Active Adapter 4K M/F White mDP to HDMI;0;https://www.mouser.com/images/tripplite/images/p137-06n-hdr-w_SPL.jpg;HDMI, Displayport & DVI Connectors;0 Days;None;Tripp Lite;P137-06N-HDR-W;1;1;545-P137-06N-HDR-W;None;https://eu.mouser.com/ProductDetail/Tripp-Lite/P137-06N-HDR-W?qs=xZ%2FP%252Ba9zWqbJLHzfPrB84g%3D%3D;False;;;0;0
None;https://www.mouser.com/datasheet/2/411/p13706nhdv4k6-1715909.pdf;HDMI, Displayport & DVI Connectors Tripp Lite Mini DisplayPort 1.2 to VGA/DVI/HDMI Converter Adapter 4K a. 60Hz;0;https://www.mouser.com/images/tripplite/images/p137-06n-hdv4k6_SPL.jpg;HDMI, Displayport & DVI Connectors;0 Days;None;Tripp Lite;P137-06N-HDV4K6;1;1;545-P137-06N-HDV4K6;None;https://eu.mouser.com/ProductDetail/Tripp-Lite/P137-06N-HDV4K6?qs=W0yvOO0ixfHqlpG7o2bDPw%3D%3D;False;;;0;0
None;;HDMI, Displayport & DVI Connectors DP/HDMI OVER CAT6 KIT,WALPLTS;0;https://www.mouser.com/images/tripplite/images/b127a-1a1-fdfh_SPL.jpg;HDMI, Displayport & DVI Connectors;0 Days;New Product;Tripp Lite;B127A-1A1-FDFH;1;1;545-B127A-1A1-FDFH;None;https://eu.mouser.com/ProductDetail/Tripp-Lite/B127A-1A1-FDFH?qs=pBJMDPsKWf30WovWWHjNCw%3D%3D;False;;;0;0
None;https://www.mouser.com/datasheet/2/411/P137000VGA-607024.pdf;HDMI, Displayport & DVI Connectors Tripp Lite Mini DisplayPort to VGA Adapter Converter Active mDP to VGA M/F;0;https://www.mouser.com/images/tripplite/images/P137000VGA-FRONT-L_SPL.jpg;HDMI, Displayport & DVI Connectors;0 Days;None;Tripp Lite;P137-000-VGA;1;1;545-P137-000-VGA;None;https://eu.mouser.com/ProductDetail/Tripp-Lite/P137-000-VGA?qs=yQScnJJ3KDtr6b4EcKObqQ%3D%3D;False;RoHS Compliant;;0;0
